time,open,high,low,close,tick_volume,spread,real_volume
2026-03-03 08:10:00,5309.29,5314.26,5278.95,5289.6,2472,45,0
2026-03-03 08:15:00,5289.77,5305.1,5288.22,5302.57,2178,45,0
2026-03-03 08:20:00,5302.54,5315.08,5302.53,5308.05,1806,46,0
2026-03-03 08:25:00,5308.1,5319.24,5306.95,5316.51,1901,48,0
2026-03-03 08:30:00,5316.5,5319.27,5312.65,5313.86,1697,47,0
2026-03-03 08:35:00,5313.85,5315.23,5295.81,5307.04,2360,45,0
2026-03-03 08:40:00,5307.05,5314.89,5307.04,5310.1,1971,30,0
2026-03-03 08:45:00,5310.11,5314.96,5302.92,5303.94,1755,47,0
2026-03-03 08:50:00,5303.93,5306.65,5290.63,5302.93,2013,45,0
2026-03-03 08:55:00,5302.79,5312.49,5301.93,5310.39,1491,48,0
2026-03-03 09:00:00,5310.38,5315.52,5305.79,5313.82,1471,49,0
2026-03-03 09:05:00,5313.84,5318.35,5312.51,5313.23,1483,45,0
2026-03-03 09:10:00,5313.29,5315.42,5309.13,5314.75,1289,46,0
2026-03-03 09:15:00,5314.76,5320.02,5309.97,5317.0,1108,46,0
2026-03-03 09:20:00,5317.01,5317.96,5311.11,5312.6,1213,32,0
2026-03-03 09:25:00,5312.56,5318.48,5311.34,5313.3,1124,30,0
2026-03-03 09:30:00,5313.24,5320.62,5313.24,5320.62,1096,49,0
2026-03-03 09:35:00,5320.63,5325.82,5315.59,5325.21,1039,48,0
2026-03-03 09:40:00,5325.22,5328.23,5320.92,5326.33,1138,47,0
2026-03-03 09:45:00,5326.34,5329.1,5323.45,5324.37,1123,49,0
2026-03-03 09:50:00,5324.3,5330.92,5324.29,5329.35,1148,48,0
2026-03-03 09:55:00,5329.37,5331.05,5324.39,5327.55,1285,50,0
2026-03-03 10:00:00,5327.49,5333.0,5325.01,5332.04,1561,46,0
2026-03-03 10:05:00,5332.06,5335.75,5324.21,5326.06,1521,45,0
2026-03-03 10:10:00,5326.02,5326.93,5319.75,5319.75,1500,48,0
2026-03-03 10:15:00,5319.88,5327.56,5317.18,5327.49,1509,48,0
2026-03-03 10:20:00,5327.46,5328.31,5313.09,5316.0,1282,46,0
2026-03-03 10:25:00,5315.98,5319.29,5310.75,5311.89,1457,48,0
2026-03-03 10:30:00,5312.16,5313.16,5301.74,5303.44,1500,46,0
2026-03-03 10:35:00,5303.43,5311.76,5299.32,5299.93,1506,46,0
2026-03-03 10:40:00,5299.92,5307.87,5295.98,5305.1,1786,46,0
2026-03-03 10:45:00,5305.08,5310.78,5304.79,5309.98,1619,47,0
2026-03-03 10:50:00,5309.94,5311.27,5299.99,5302.4,1658,45,0
2026-03-03 10:55:00,5302.25,5302.29,5290.13,5295.44,1736,46,0
2026-03-03 11:00:00,5295.45,5303.75,5289.12,5289.17,1821,47,0
2026-03-03 11:05:00,5289.16,5297.39,5284.2,5295.28,1846,46,0
2026-03-03 11:10:00,5295.25,5303.32,5293.45,5296.07,1750,45,0
2026-03-03 11:15:00,5296.08,5302.42,5292.42,5294.83,1759,46,0
2026-03-03 11:20:00,5295.15,5299.57,5280.93,5285.2,1865,46,0
2026-03-03 11:25:00,5285.21,5285.45,5226.16,5242.14,2787,45,0
2026-03-03 11:30:00,5242.18,5270.32,5240.27,5266.3,2593,47,0
2026-03-03 11:35:00,5266.11,5270.41,5262.58,5265.92,1943,49,0
2026-03-03 11:40:00,5265.91,5269.43,5259.1,5263.76,2135,47,0
2026-03-03 11:45:00,5263.94,5270.76,5259.75,5263.8,1973,45,0
2026-03-03 11:50:00,5263.81,5279.79,5262.49,5278.91,1892,48,0
2026-03-03 11:55:00,5278.88,5280.8,5269.27,5274.91,1536,46,0
2026-03-03 12:00:00,5274.81,5288.02,5268.95,5283.46,1608,46,0
2026-03-03 12:05:00,5283.44,5285.99,5269.74,5275.25,1684,46,0
2026-03-03 12:10:00,5275.3,5280.19,5271.57,5272.63,1415,46,0
2026-03-03 12:15:00,5272.62,5274.2,5265.77,5269.3,1636,45,0
2026-03-03 12:20:00,5269.26,5276.69,5268.53,5275.39,1365,45,0
2026-03-03 12:25:00,5275.4,5281.18,5271.35,5276.69,1318,45,0
2026-03-03 12:30:00,5276.46,5276.68,5265.2,5269.11,1516,32,0
2026-03-03 12:35:00,5269.19,5271.63,5247.68,5252.65,1783,46,0
2026-03-03 12:40:00,5252.76,5267.85,5252.76,5260.7,1835,46,0
2026-03-03 12:45:00,5260.78,5260.78,5246.58,5249.36,1997,46,0
2026-03-03 12:50:00,5249.59,5255.85,5239.91,5244.86,2087,46,0
2026-03-03 12:55:00,5244.68,5254.65,5237.78,5248.46,1870,46,0
2026-03-03 13:00:00,5248.48,5263.83,5244.83,5250.32,1790,46,0
2026-03-03 13:05:00,5249.52,5251.81,5159.61,5171.42,2498,45,0
