time,open,high,low,close,tick_volume,spread,real_volume,rsi,sma_20,sma_50,ema_12,ema_26,macd,macd_signal,macd_hist,returns,weighted_returns,equity,signals
2026-01-29 16:00:00,5510.41,5549.54,5490.92,5496.68,30077,30,0,,,,5496.68,5496.68,0.0,0.0,0.0,,0.0,,0
2026-01-29 17:00:00,5496.7,5496.7,5104.45,5182.39,32103,30,0,,,,5326.439583333334,5333.490961538461,-7.051378205127548,-3.9174323361819714,-3.133945868945577,-0.057178151174891,0.0,,0
2026-01-29 18:00:00,5182.35,5310.84,5171.7,5264.11,34173,30,0,,,,5302.112332563511,5308.563055692459,-6.450723128948084,-4.955666267643493,-1.4950568613045911,0.01576878621639799,0.0,,0
2026-01-29 19:00:00,5264.2,5375.31,5264.2,5334.99,34504,30,0,,,,5312.490527298851,5315.950874474491,-3.4603471756399813,-4.449121859783225,0.9887746841432437,0.013464764224151882,0.0,,0
2026-01-29 20:00:00,5335.04,5361.72,5307.83,5338.73,30688,30,0,,,,5319.61969825249,5321.233447638613,-1.6137493861233452,-3.6056626517692196,1.9919132656458745,0.0007010322418599113,0.0,,0
2026-01-29 21:00:00,5338.94,5345.14,5290.15,5305.44,27818,30,0,,,,5316.173285585981,5318.070146040619,-1.8968604546380448,-3.1424822487824104,1.2456217941443657,-0.006235565387273767,0.0,,0
2026-01-29 22:00:00,5305.5,5406.81,5283.13,5394.2,24916,30,0,,,,5333.5846739128265,5331.609445920593,1.9752279922331581,-1.8473263148670505,3.8225543071002086,0.016729997888959236,0.0,,0
2026-01-29 23:00:00,5393.97,5425.54,5369.63,5370.76,16768,30,0,,,,5341.342591479972,5337.917570267969,3.42502121200323,-0.580282057642904,4.005303269646134,-0.004345408030847819,0.0,,0
2026-01-30 01:00:00,5385.13,5448.29,5376.62,5438.2,19199,30,0,,,,5360.504434328466,5352.781627848121,7.722806480344843,1.3377725864669132,6.38503389387793,0.012556882080003495,0.0,,0
2026-01-30 02:00:00,5438.21,5450.76,5389.81,5406.96,20917,43,0,,,,5369.307745968526,5360.257715903894,9.050030064632665,3.0657659575082463,5.984264107124419,-0.0057445478283255635,0.0,,0
2026-01-30 03:00:00,5407.98,5409.79,5290.34,5301.09,28941,30,0,,,,5356.82554330232,5352.583644406799,4.241898895520535,3.323097123996911,0.9188017715236239,-0.019580318700341715,0.0,,0
2026-01-30 04:00:00,5301.0,5312.24,5112.07,5225.09,31409,30,0,,,,5333.403396172456,5336.919041349092,-3.5156451766360988,1.8544220835989367,-5.370067260235036,-0.014336674155692508,0.0,,0
2026-01-30 05:00:00,5225.06,5229.15,5151.84,5196.05,25892,30,0,,,,5309.553628612405,5320.416258564097,-10.862629951691815,-0.8369479561254596,-10.025681995566355,-0.005557799004419106,0.0,,0
2026-01-30 06:00:00,5195.82,5230.51,5193.68,5214.72,20635,30,0,35.071687244541366,,,5293.4064895275405,5308.5453108608535,-15.13882133331299,-3.828910537486031,-11.309910795826958,0.0035931140000577955,0.0,,0
2026-01-30 07:00:00,5213.22,5241.01,5179.56,5184.92,22644,30,0,33.99885031513679,,,5275.23314530779,5295.172080480809,-19.938935173018763,-7.168413789607068,-12.770521383411694,-0.0057145925380461815,0.0,,0
2026-01-30 08:00:00,5185.2,5205.44,5145.58,5155.63,26279,30,0,48.058562349458754,,,5255.467782528113,5280.574832551688,-25.10705002357463,-10.860051397367434,-14.246998626207196,-0.005649074624102246,0.0,,0
2026-01-30 09:00:00,5155.59,5186.34,5117.78,5180.95,24129,30,0,43.42899585954044,,,5243.292077295104,5270.462042037062,-27.16996474195821,-14.19717951092921,-12.972785231029,0.00491113598144155,0.0,,0
2026-01-30 10:00:00,5180.36,5180.36,5054.32,5117.23,26373,30,0,32.596464307407004,,,5222.889169670993,5255.322986439716,-32.43381676872286,-17.911416711579193,-14.52240005714367,-0.012298902710892845,0.0,,0
2026-01-30 11:00:00,5116.97,5131.99,4942.33,5013.67,29459,30,0,27.595666078517866,,,5189.296253378441,5232.024141854354,-42.72788847591255,-22.947285583404714,-19.780602892507837,-0.020237511309829648,0.0,,0
2026-01-30 12:00:00,5012.69,5122.62,5000.71,5119.74,25158,30,0,38.36786850742902,5262.0775,,5178.202590675504,5221.434893832429,-43.2323031569249,-27.05160872219441,-16.18069443473049,0.02115615906112689,0.0,,0
2026-01-30 13:00:00,5119.43,5144.41,5088.81,5135.65,21418,43,0,32.17806085170321,5244.026,,5171.453896650231,5213.5051725408375,-42.05127589060612,-30.079469239907322,-11.971806650698799,0.00310757968178077,0.0,,0
2026-01-30 14:00:00,5135.75,5145.54,5055.67,5064.62,21419,30,0,30.19690540260808,5238.137499999999,,5154.59051705651,5199.990800862821,-45.400283806310654,-33.166409753840504,-12.23387405247015,-0.013830771177942403,0.0,,0
2026-01-30 15:00:00,5064.64,5099.62,4992.04,5019.29,27743,30,0,22.104281813944155,5225.8965,,5133.318873458469,5183.857871986446,-50.53899852797713,-36.661559229588946,-13.877439298388182,-0.008950325986944674,0.0,,0
2026-01-30 16:00:00,5019.31,5113.03,5014.1,5032.74,30172,30,0,24.475486317627414,5210.784,,5117.559223990077,5170.5681799094655,-53.00895591938843,-39.94655150496658,-13.062404414421849,0.002679661864526617,0.0,,0
2026-01-30 17:00:00,5032.03,5073.94,4980.48,5050.55,32278,30,0,30.57829457364339,5196.375,,5107.0893538587015,5160.157849763208,-53.06849590450656,-42.5808926443153,-10.487603260191264,0.00353882775585479,0.0,,0
2026-01-30 18:00:00,5050.49,5051.78,4943.7,4984.99,31790,30,0,31.08137922339884,5180.3525,,5088.0575732044645,5145.1538919199365,-57.09631871547208,-45.492778493513825,-11.603540221958255,-0.012980764471196338,0.0,,0
2026-01-30 19:00:00,4985.02,4985.66,4800.78,4849.38,32728,30,0,26.61206535965347,5153.111500000001,,5050.929785982248,5120.109485138473,-69.17969915622507,-50.241644679949424,-18.938054476275646,-0.027203665403541355,0.0,,0
2026-01-30 20:00:00,4849.41,4893.35,4684.92,4880.36,32637,30,0,27.81110639201522,5128.5915,,5024.441887183906,5100.021829061342,-75.57994187743589,-55.31912539550371,-20.260816481932174,0.006388445533243248,0.0,,0
2026-01-30 21:00:00,4880.93,4947.58,4842.05,4932.73,28689,30,0,33.750853726111714,5103.318,,5010.220428788855,5086.139932168844,-75.91950337998878,-59.44558638149461,-16.473916998494175,0.010730765763181438,0.0,,0
2026-01-30 22:00:00,4932.78,4932.78,4808.71,4846.83,27148,30,0,31.45612644423622,5075.3115,,4984.914902706844,5066.457258966399,-81.54235625955516,-63.870418033375685,-17.671938226179478,-0.017414291882993704,0.0,,0
2026-01-30 23:00:00,4847.52,4891.55,4831.7,4890.34,15699,30,0,32.921568857911865,5054.773999999999,,4970.282457123327,5052.089468801048,-81.80701167772077,-67.46129299255513,-14.345718685165636,0.008977001462811884,0.0,,0
2026-02-02 01:00:00,4805.03,4869.41,4696.67,4741.81,25143,30,0,29.93736773476411,5030.61,,4934.9644355653145,5026.9652170656345,-92.00078150032004,-72.3730822144552,-19.62769928586485,-0.03037212136579459,0.0,,0
2026-02-02 02:00:00,4742.15,4884.67,4740.11,4766.18,26295,30,0,35.55106663708651,5009.1165,,4908.892402438695,5005.9933450209055,-97.10094258221034,-77.32179090477705,-19.77915167743329,0.0051393877021643775,0.0,,0
2026-02-02 03:00:00,4765.98,4784.02,4583.67,4737.5,29529,30,0,25.467241733415477,4985.2555,,4882.434008698477,4984.537716111872,-102.10370741339557,-82.28068866639033,-19.823018747005236,-0.006017397580452277,0.0,,0
2026-02-02 04:00:00,4737.25,4772.18,4698.63,4711.15,26833,30,0,23.11521507827935,4961.567,,4856.00627669989,4962.817754507069,-106.81147780717947,-87.1888374762393,-19.622640330940172,-0.005562005277044979,0.0,,0
2026-02-02 05:00:00,4711.01,4728.94,4630.43,4646.06,28228,30,0,23.29045102994104,4936.0885,,4823.6277026532125,4937.786655136951,-114.15895248373818,-92.58461150652326,-21.574340977214916,-0.013816159536418793,0.0,,0
2026-02-02 06:00:00,4646.13,4712.77,4603.63,4679.85,24394,30,0,28.01554404145078,4911.0335,,4801.462209958731,4917.504140014402,-116.04193005567049,-97.27729350625297,-18.764636549417517,0.007272829020718685,0.0,,0
2026-02-02 07:00:00,4679.84,4696.01,4499.06,4549.2,26895,30,0,22.810391363022944,4882.632,,4762.584597640411,4888.674473198247,-126.08987555783642,-103.04100699302691,-23.04886856480951,-0.02791756146030333,0.0,,0
2026-02-02 08:00:00,4548.94,4573.14,4402.99,4502.9,29395,30,0,20.161492442981796,4857.0935,,4722.573869431962,4858.603663883387,-136.029794451425,-109.63986090737691,-26.38993354404809,-0.010177613646355499,0.0,,0
2026-02-02 09:00:00,4504.25,4619.21,4487.47,4586.69,25600,30,0,28.721471920676947,4830.441,,4701.642430313611,4837.4900307653525,-135.84760045174153,-114.88210563009444,-20.965494821647084,0.01860800817251107,0.0,,0
2026-02-02 10:00:00,4587.27,4650.92,4561.68,4641.1,25242,43,0,37.81589292399852,4805.7135,,4692.318324054687,4822.294989668643,-129.97666561395636,-117.9013386867952,-12.075326927161157,0.011862585001384707,0.0,,0
2026-02-02 11:00:00,4640.84,4731.63,4603.49,4719.68,26582,42,0,41.09628513166065,4788.4665,,4696.531592655798,4814.38158383579,-117.84999117999178,-117.89106831172762,0.041077131735846706,0.01693133093447674,0.0,,0
2026-02-02 12:00:00,4719.61,4733.64,4657.2,4705.61,23325,30,0,36.85678572255274,4772.782499999999,,4697.929331787061,4806.018848097903,-108.08951631084255,-115.93062449065788,7.841108179815322,-0.002981134314190892,0.0,,0
2026-02-02 13:00:00,4705.53,4778.95,4703.27,4765.97,21584,30,0,45.17817956301884,4759.444,,4708.403855190074,4802.948380208608,-94.54452501853393,-111.653171709552,17.108646691018066,0.01282724237665267,0.0,,0
2026-02-02 14:00:00,4765.96,4812.34,4743.99,4794.02,20810,30,0,44.14838035527694,4746.6175,,4721.582732833169,4802.26562958215,-80.68289674898097,-105.45884691654153,24.775950167560566,0.00588547556950636,0.0,,0
2026-02-02 15:00:00,4793.82,4803.09,4669.66,4705.96,30058,30,0,47.64933446987081,4732.666,,4719.1781295821565,4794.918766613465,-75.74063703130832,-99.5149978265823,23.774360795273978,-0.0183687176941274,0.0,,0
2026-02-02 16:00:00,4706.06,4793.93,4679.78,4719.23,30133,30,0,46.87603965666375,4726.1585,,4719.186112753103,4789.157450377496,-69.97133762439353,-93.60610107014332,23.634763445749797,0.0028198284728300216,0.0,,0
