timestamp,symbol,signal,strategy,exposure,urgency,regime,mtf_confluence_score
2026-03-04T12:08:10.767202,XAUUSDm,BUY,QuietMarket,0.19463881559100746,NORMAL,QUIET,37.21
2026-03-04T12:08:33.963103,XAUUSDm,BUY,QuietMarket,0.19498434399279715,NORMAL,QUIET,36.99
2026-03-04T12:08:54.086421,XAUUSDm,BUY,QuietMarket,0.1946387709038155,NORMAL,QUIET,37.13
2026-03-04T12:09:14.212210,XAUUSDm,BUY,QuietMarket,0.19590813793298836,NORMAL,QUIET,37.19
2026-03-04T12:09:34.330927,XAUUSDm,BUY,QuietMarket,0.19463775703493766,NORMAL,QUIET,36.91
2026-03-04T12:09:54.459330,XAUUSDm,BUY,QuietMarket,0.19463872506752508,NORMAL,QUIET,37.12
2026-03-04T12:10:14.653496,XAUUSDm,BUY,QuietMarket,0.19465904425250263,NORMAL,QUIET,37.21
2026-03-04T12:10:34.829782,XAUUSDm,BUY,QuietMarket,0.19465895607628914,NORMAL,QUIET,37.2
2026-03-04T12:10:54.986130,XAUUSDm,BUY,QuietMarket,0.19500441862228046,NORMAL,QUIET,37.13
2026-03-04T12:11:15.077899,XAUUSDm,BUY,QuietMarket,0.19465805609969836,NORMAL,QUIET,37.11
2026-03-04T12:11:35.190575,XAUUSDm,BUY,QuietMarket,0.19500301084758936,NORMAL,QUIET,36.88
2026-03-04T12:11:55.287025,XAUUSDm,BUY,QuietMarket,0.19465723398151535,NORMAL,QUIET,37.0
2026-03-04T12:12:15.426919,XAUUSDm,BUY,QuietMarket,0.19465751262382214,NORMAL,QUIET,37.06
2026-03-04T12:12:35.532516,XAUUSDm,BUY,QuietMarket,0.19465685036048327,NORMAL,QUIET,36.91
2026-03-04T12:12:55.641424,XAUUSDm,BUY,QuietMarket,0.19465775137450425,NORMAL,QUIET,37.09
2026-03-04T12:13:15.747728,XAUUSDm,BUY,QuietMarket,0.1950043466694821,NORMAL,QUIET,37.12
2026-03-04T12:13:35.866952,XAUUSDm,BUY,QuietMarket,0.19465866687402544,NORMAL,QUIET,37.17
2026-03-04T12:13:55.988057,XAUUSDm,BUY,QuietMarket,0.1946588558353538,NORMAL,QUIET,37.19
2026-03-04T12:14:16.093865,XAUUSDm,BUY,QuietMarket,0.1946592251624062,NORMAL,QUIET,37.23
2026-03-04T12:14:36.212665,XAUUSDm,BUY,QuietMarket,0.19465818505095633,NORMAL,QUIET,37.12
2026-03-04T12:14:56.322299,XAUUSDm,BUY,QuietMarket,0.19465739212902475,NORMAL,QUIET,37.03
2026-03-04T12:15:16.419768,XAUUSDm,BUY,QuietMarket,0.1946890941707768,NORMAL,QUIET,39.25
2026-03-04T12:15:36.511925,XAUUSDm,BUY,QuietMarket,0.19468787881294772,NORMAL,QUIET,38.93
2026-03-04T12:39:07.665494,XAUUSDm,SELL,QuietMarket,0.1951726588496387,NORMAL,QUIET,29.55
2026-03-04T12:39:47.847965,XAUUSDm,SELL,QuietMarket,0.1948257243403214,NORMAL,QUIET,29.38
2026-03-04T12:40:07.971645,XAUUSDm,SELL,QuietMarket,0.19260988686404956,NORMAL,QUIET,29.45
2026-03-04T12:40:33.136354,XAUUSDm,SELL,QuietMarket,0.19610494250506863,NORMAL,QUIET,29.55
2026-03-04T12:41:33.757257,XAUUSDm,SELL,QuietMarket,0.19481967490521043,NORMAL,QUIET,29.54
2026-03-04T12:41:53.859714,XAUUSDm,SELL,QuietMarket,0.19482205129515862,NORMAL,QUIET,29.37
2026-03-04T12:42:13.954771,XAUUSDm,SELL,QuietMarket,0.19482341716364396,NORMAL,QUIET,29.3
2026-03-04T12:42:34.051657,XAUUSDm,SELL,QuietMarket,0.19324712300835367,NORMAL,QUIET,29.4
2026-03-04T12:42:57.263544,XAUUSDm,SELL,QuietMarket,0.19482513493291398,NORMAL,QUIET,29.22
2026-03-04T12:43:17.372562,XAUUSDm,SELL,QuietMarket,0.19482807034038452,NORMAL,QUIET,29.05
2026-03-04T12:43:37.475737,XAUUSDm,SELL,QuietMarket,0.19483073273773607,NORMAL,QUIET,28.86
2026-03-04T12:43:57.578515,XAUUSDm,SELL,QuietMarket,0.19325569463776504,NORMAL,QUIET,28.98
2026-03-04T12:44:21.688152,XAUUSDm,SELL,QuietMarket,0.19483058011895832,NORMAL,QUIET,28.88
2026-03-04T12:44:41.784786,XAUUSDm,SELL,QuietMarket,0.19483189293340253,NORMAL,QUIET,28.77
2026-03-04T12:45:01.883558,XAUUSDm,SELL,QuietMarket,0.19518168565805746,NORMAL,QUIET,28.83
2026-03-04T12:45:21.978289,XAUUSDm,SELL,QuietMarket,0.19483280460737354,NORMAL,QUIET,28.87
2026-03-04T12:45:42.079103,XAUUSDm,SELL,QuietMarket,0.19518052240184272,NORMAL,QUIET,28.93
2026-03-04T12:46:02.222655,XAUUSDm,SELL,QuietMarket,0.19483367031799864,NORMAL,QUIET,28.79
2026-03-04T12:46:22.333244,XAUUSDm,SELL,QuietMarket,0.1948347900015133,NORMAL,QUIET,28.68
2026-03-04T12:46:42.433769,XAUUSDm,SELL,QuietMarket,0.1948340598114159,NORMAL,QUIET,28.76
2026-03-04T12:55:05.583457,XAUUSDm,SELL,QuietMarket,0.19484421115216877,NORMAL,QUIET,29.46
2026-03-04T12:55:25.748137,XAUUSDm,SELL,QuietMarket,0.19518914885132838,NORMAL,QUIET,30.03
2026-03-04T12:55:45.888144,XAUUSDm,SELL,MeanReversion,0.2308310384496068,NORMAL,MEAN_REVERTING,30.13
2026-03-04T12:56:08.860056,XAUUSDm,SELL,MeanReversion,0.2304104249238865,NORMAL,MEAN_REVERTING,30.33
2026-03-04T12:56:31.779428,XAUUSDm,SELL,QuietMarket,0.19611569925564057,NORMAL,QUIET,30.41
2026-03-04T12:56:51.897082,XAUUSDm,SELL,MeanReversion,0.23083127305057233,NORMAL,MEAN_REVERTING,30.07
2026-03-04T12:57:15.212863,XAUUSDm,SELL,QuietMarket,0.19484247105764713,NORMAL,QUIET,29.71
2026-03-04T12:57:35.305392,XAUUSDm,SELL,QuietMarket,0.1948429226166576,NORMAL,QUIET,29.64
2026-03-04T12:57:55.395670,XAUUSDm,SELL,QuietMarket,0.19325910459691298,NORMAL,QUIET,29.61
2026-03-04T12:58:15.494752,XAUUSDm,SELL,QuietMarket,0.19484280237774085,NORMAL,QUIET,29.66
2026-03-04T12:58:35.595821,XAUUSDm,SELL,QuietMarket,0.19484436553502388,NORMAL,QUIET,29.37
2026-03-04T14:00:13.893112,XAUUSDm,SELL,QuietMarket,0.19489385468572573,NORMAL,QUIET,28.8
2026-03-04T14:00:38.710199,XAUUSDm,SELL,QuietMarket,0.19524287462953616,NORMAL,QUIET,27.94
2026-03-04T14:01:02.915005,XAUUSDm,SELL,QuietMarket,0.19524210468188563,NORMAL,QUIET,27.38
2026-03-04T14:01:26.472895,XAUUSDm,SELL,QuietMarket,0.19489405633071288,NORMAL,QUIET,27.15
2026-03-04T14:01:50.754574,XAUUSDm,SELL,QuietMarket,0.19524107856208262,NORMAL,QUIET,26.99
2026-03-04T14:02:14.939158,XAUUSDm,SELL,QuietMarket,0.19489473474507543,NORMAL,QUIET,27.23
2026-03-04T14:02:39.604703,XAUUSDm,SELL,QuietMarket,0.19524161184181107,NORMAL,QUIET,27.06
2026-03-04T14:03:03.938799,XAUUSDm,SELL,QuietMarket,0.195242756719602,NORMAL,QUIET,27.35
2026-03-04T14:03:28.532863,XAUUSDm,SELL,QuietMarket,0.1948950044932679,NORMAL,QUIET,27.47
2026-03-04T14:03:52.721614,XAUUSDm,SELL,QuietMarket,0.19489498974645844,NORMAL,QUIET,27.36
2026-03-04T14:04:17.041267,XAUUSDm,SELL,QuietMarket,0.19489501931204778,NORMAL,QUIET,27.42
2026-03-04T14:04:41.303597,XAUUSDm,SELL,QuietMarket,0.19489497542066936,NORMAL,QUIET,27.5
2026-03-04T14:05:05.792650,XAUUSDm,SELL,QuietMarket,0.19490693245334598,NORMAL,QUIET,28.12
