time,open,high,low,close,tick_volume,spread,real_volume,rsi,macd,macd_signal,macd_hist,bb_middle,bb_upper,bb_lower,stoch_k,stoch_d,sma_20,sma_50,ema_12,ema_26,atr,adx,target,signal,returns,equity
2026-02-06 03:30:00,4711.82,4747.13,4705.14,4741.59,6631,30,0,,0.0,0.0,0.0,,,,,,,,4741.59,4741.59,,,1,0,,
2026-02-06 03:45:00,4741.56,4784.59,4736.38,4774.26,6553,30,0,,0.7329807692303802,0.40721153846132235,0.3257692307690579,,,,,,,,4759.286249999999,4758.553269230769,,,1,0,0.0,10000.0
2026-02-06 04:00:00,4774.06,4796.87,4761.12,4787.49,6651,30,0,,1.3442244953939735,0.7912332421222448,0.5529912532717287,,,,,,,,4770.294180138568,4768.949955643174,,,1,1,0.0,10000.0
2026-02-06 04:15:00,4787.42,4821.52,4782.79,4820.38,5301,30,0,,2.7767675179284197,1.4638397041162063,1.3129278138122134,,,,,,,,4786.104316091954,4783.327548574026,,,1,1,0.006869988240184366,10068.699882401843
2026-02-06 04:30:00,4820.47,4846.13,4809.34,4826.06,7329,30,0,,3.7227522951561696,2.135815129818242,1.5869371653379276,,,,,,,,4796.960132609089,4793.237380313933,,,0,1,0.001178330339101974,10080.483185792864
2026-02-06 04:45:00,4826.25,4832.38,4809.75,4817.02,5900,30,0,,3.834886377098883,2.596357904365211,1.2385284727336718,,,,,,,,4801.835735730781,4798.0008493536825,,,0,1,-0.001873163615868867,10061.751549634175
2026-02-06 05:00:00,4816.96,4838.88,4809.05,4814.49,5633,30,0,,3.726131209927189,2.882273388393748,0.8438578215334411,,,,,,,,4804.659490528566,4800.933359318638,,,0,0,-0.0005252209872494973,10056.49933976168
2026-02-06 05:15:00,4814.6,4827.96,4801.6,4811.45,5280,45,0,,3.448714475255656,3.018399833493664,0.4303146417619921,,,,,,,,4806.07656519241,4802.627850717155,,,0,0,-0.0,10056.49933976168
2026-02-06 05:30:00,4811.47,4825.04,4800.83,4805.23,4360,45,0,,2.895538099886835,2.9900181635102827,-0.09448006362344774,,,,,,,,4805.909084465578,4803.013546365692,,,1,0,-0.0,10056.49933976168
2026-02-06 05:45:00,4805.15,4826.3,4805.14,4824.07,3464,30,0,,3.431438869878548,3.088922026173613,0.34251684370493507,,,,,,,,4809.350570901213,4805.919132031335,,,0,1,0.0,10056.49933976168
2026-02-06 06:00:00,4824.09,4827.63,4814.81,4819.13,3524,47,0,,3.507384835521407,3.1804792977891676,0.3269055377322392,,,,,,,,4811.139970627601,4807.632585792079,,,1,1,-0.0010240315749977524,10046.2590240117
2026-02-06 06:15:00,4819.1,4827.7,4807.22,4826.47,2802,30,0,,3.9185405861062463,3.338983909424399,0.5795566766818472,,,,,,,,4813.8655995236795,4809.947058937573,,,0,1,0.0015230964925203594,10061.489988936904
2026-02-06 06:30:00,4826.4,4831.81,4819.63,4822.17,3138,45,0,,3.9285846479087922,3.463763910210171,0.4648207376986213,,,,,,,,4815.30755892625,4811.378974278341,,,0,1,-0.0008909202792103388,10052.580786144803
2026-02-06 06:45:00,4822.38,4824.36,4810.47,4813.61,2303,45,0,74.12245444801674,3.3889738233247044,3.4481177682316697,-0.059143944906965285,,,,76.93453436413895,,,,4815.018518841124,4811.6295450177995,27.502142857142776,,1,-1,-0.0017751344311793815,10034.829441833008
2026-02-06 07:00:00,4813.88,4825.63,4807.65,4824.16,2951,30,0,75.83056998060403,3.564840123935028,3.4723135528617473,0.09252657107328055,,,,79.98177676537563,,,,4816.549873431932,4812.985033307997,25.787142857142822,,1,1,-0.002191702277500651,10012.912419058002
2026-02-06 07:15:00,4824.12,4852.05,4819.09,4852.02,3433,30,0,75.08063475680528,5.3431800248890795,3.8573239258440695,1.48585609904501,,,,99.96700758825499,85.62777290592318,,,4822.411591513465,4817.068411488576,24.69785714285711,,1,1,0.0057750986700275675,10070.663405758278
2026-02-06 07:30:00,4852.0,4871.41,4837.23,4866.0,6213,30,0,75.20061629325258,7.498249701930945,4.602284092710983,2.895965609219962,,,,93.89528323177629,91.2813558618023,,,4829.533644737578,4822.035395035647,24.58571428571427,,1,1,0.0028812741909554074,10099.476147667832
2026-02-06 07:45:00,4866.02,4897.78,4862.38,4897.51,5716,30,0,74.97894941382182,11.043335704433048,5.91412646635586,5.129209238077188,,,,99.72150593089269,97.86126558364133,,,4840.535488644975,4829.492152940542,24.34785714285707,,0,1,0.006475544595150096,10164.231593619334
2026-02-06 08:00:00,4897.48,4903.13,4865.64,4866.68,5976,45,0,61.31224239723724,11.6557376623432,7.0792397576639825,4.576497904679217,,,,64.3695014662759,85.99543020964829,,,4844.733337163541,4833.077599501198,24.397857142857056,,0,1,-0.00629503564056022,10101.28123721373
2026-02-06 08:15:00,4866.61,4871.86,4848.47,4853.63,6144,30,0,59.972759466085336,11.136436213421803,7.900143423713537,3.2362927897082656,4823.171,4891.295566988484,4755.0464330115165,51.61290322580654,71.90130354099172,4823.171,,4846.152283295565,4835.015847082143,24.45214285714272,,0,0,-0.0026814995027411026,10074.46624218632
